class,AP50,Precision,Recall,river,seed
all,0.22405712292769997,0.48317307692298755,0.46370896184552546,combined,42
Coho,0.5389900868538238,0.5921686746986168,0.9097639981490051,combined,42
Bull,0.05868833036676629,0.6749999999831251,0.06338028169014084,combined,42
Rainbow,0.000733406673991679,0.017647058823425606,0.012145748987854251,combined,42
Sockeye,0.0,0.0,0.0,combined,42
Pink,0.2153109832688222,0.31788079470093417,0.6233766233766234,combined,42
Whitefish,0.013861386138536852,0.11111111111052323,0.11602209944751381,combined,42
Chinook,0.11508118930393073,0.28260869565115,0.3804878048780488,combined,42
Shiner,0.04950495049428789,0.9701492537168634,0.045013850415512466,combined,42
Pikeminnow,0.7928077189233216,0.6287878787862909,0.8892857142857142,combined,42
Chum,0.0,0.0,0.0,combined,42
Steelhead,0.0,0.0,0.0,combined,42
Lamprey,0.8270691937386588,0.8659793814343714,0.84,combined,42
Cutthroat,0.52475247522566,0.9999999999583333,0.5217391304347826,combined,42
Jack_Chinook,0.0,0.0,0.0,combined,42
all,0.21845073346415328,0.4802437223041949,0.4606801275238291,combined,123
Coho,0.5404719944341928,0.5877771120429636,0.9121338912133892,combined,123
Bull,0.042486082220912755,0.6249999999804688,0.04291845493562232,combined,123
Rainbow,0.0001800180017985435,0.012578616352122148,0.007575757575757576,combined,123
Sockeye,0.0,0.0,0.0,combined,123
Pink,0.15939816942140256,0.24999999999927328,0.5695364238410596,combined,123
Whitefish,0.03534653465328862,0.16425120772867513,0.20359281437125748,combined,123
Chinook,0.1271805751998725,0.3267716535420206,0.38967136150234744,combined,123
Shiner,0.03960396039526306,0.9482758620526159,0.0383008356545961,combined,123
Pikeminnow,0.7729281256120297,0.6218905472621347,0.9191176470588235,combined,123
Chum,0.0,0.0,0.0,combined,123
Steelhead,0.0,0.0,0.0,combined,123
Lamprey,0.829823719486059,0.8762886597847805,0.8415841584158416,combined,123
Cutthroat,0.5108910890733267,0.9599999999616,0.5217391304347826,combined,123
Jack_Chinook,0.0,0.0,0.0,combined,123
all,0.22205800187845462,0.4714418604650285,0.4529853414371732,combined,456
Coho,0.5331022590488282,0.5806845965768397,0.9117082533589251,combined,456
Bull,0.03226989365254607,0.5517241379120095,0.03547671840354767,combined,456
Rainbow,0.004144600506514091,0.05624999999964844,0.03180212014134275,combined,456
Sockeye,0.0,0.0,0.0,combined,456
Pink,0.20433585963140982,0.2742382271460547,0.6470588235294118,combined,456
Whitefish,0.021532250312305358,0.1296296296290295,0.15819209039548024,combined,456
Chinook,0.1502049428022378,0.33212996389771793,0.4200913242009132,combined,456
Shiner,0.049337137102642495,0.9264705882216695,0.04390243902439024,combined,456
Pikeminnow,0.7407465264307522,0.6178160919522476,0.8565737051792829,combined,456
Chum,0.0,0.0,0.0,combined,456
Steelhead,0.0,0.0,0.0,combined,456
Lamprey,0.8483860815854688,0.8979591836643065,0.8627450980392157,combined,456
Cutthroat,0.52475247522566,0.9999999999583333,0.5217391304347826,combined,456
Jack_Chinook,0.0,0.0,0.0,combined,456
all,0.1099062774538251,0.5205377147123748,0.4940634414317749,kitwanga,42
Coho,0.5843093932121881,0.5979166666665282,0.9736147757255936,kitwanga,42
Bull,0.03755168236345357,0.4772727272618802,0.04719101123595506,kitwanga,42
Rainbow,0.0,0.0,0.0,kitwanga,42
Sockeye,0.0,0.0,0.0,kitwanga,42
Pink,0.16806297391774733,0.25217391304274733,0.5958904109589042,kitwanga,42
Whitefish,0.0032768706734710926,0.037914691942948275,0.07339449541284404,kitwanga,42
Chinook,0.41576813182521594,0.9175257731864173,0.42788461538461536,kitwanga,42
Shiner,0.0,0.0,0.0,kitwanga,42
Pikeminnow,0.0,0.0,0.0,kitwanga,42
Chum,0.0,0.0,0.0,kitwanga,42
Steelhead,0.0,0.0,0.0,kitwanga,42
all,0.11314002666827574,0.5161110076363352,0.48871252204576915,kitwanga,123
Coho,0.5817331462549891,0.5943942552697256,0.9756653992395438,kitwanga,123
Bull,0.03241293956589315,0.562499999982422,0.03543307086614173,kitwanga,123
Rainbow,0.0,0.0,0.0,kitwanga,123
Sockeye,0.0,0.0,0.0,kitwanga,123
Pink,0.2054377233964512,0.2594594594587582,0.6442953020134228,kitwanga,123
Whitefish,0.011879437280531245,0.07655502392307868,0.1415929203539823,kitwanga,123
Chinook,0.4130770468531685,0.9146341463303093,0.423728813559322,kitwanga,123
Shiner,0.0,0.0,0.0,kitwanga,123
Pikeminnow,0.0,0.0,0.0,kitwanga,123
Chum,0.0,0.0,0.0,kitwanga,123
Steelhead,0.0,0.0,0.0,kitwanga,123
all,0.11121083758135968,0.515362865221392,0.4861308677097286,kitwanga,456
Coho,0.5815400789727813,0.5924537145534116,0.975685063681976,kitwanga,456
Bull,0.04161318157843932,0.54999999998625,0.043478260869565216,kitwanga,456
Rainbow,0.0,0.0,0.0,kitwanga,456
Sockeye,0.0,0.0,0.0,kitwanga,456
Pink,0.17548345151419048,0.2312138728317017,0.583941605839416,kitwanga,456
Whitefish,0.008356941471205723,0.06103286384947872,0.11818181818181818,kitwanga,456
Chinook,0.4163255598583395,0.9381443298872356,0.4232558139534884,kitwanga,456
Shiner,0.0,0.0,0.0,kitwanga,456
Pikeminnow,0.0,0.0,0.0,kitwanga,456
Chum,0.0,0.0,0.0,kitwanga,456
Steelhead,0.0,0.0,0.0,kitwanga,456
all,0.29990597546969777,0.34514664804463246,0.34641668126855674,bear,42
Coho,0.04845975595668285,0.28926905132147857,0.15630252100840336,bear,42
Bull,0.999999999982143,0.9180327868701962,1.0,bear,42
Rainbow,0.014547446768441934,0.13043478260818012,0.047345767575322814,bear,42
Sockeye,0.0,0.0,0.0,bear,42
Pink,0.1402819629781442,0.1783783783774142,0.7857142857142857,bear,42
Whitefish,0.17672134860294733,0.7522123893738742,0.17276422764227642,bear,42
Chinook,0.12117343141243035,0.13270637408554575,0.5825688073394495,bear,42
Shiner,0.2859014027942174,0.9492753623165476,0.28334534967555874,bear,42
Pikeminnow,0.7838838826156811,0.6583333333328761,0.8876404494382022,bear,42
Chum,0.0,0.0,0.0,bear,42
Steelhead,0.0,0.0,0.0,bear,42
Lamprey,0.8145411232953376,0.8440366972399629,0.8363636363636363,bear,42
Cutthroat,0.5132673267000454,0.9599999999616,0.5217391304347826,bear,42
all,0.3019075167956484,0.3520027744060426,0.35267546907568575,bear,123
Coho,0.04941223625945817,0.2762345679008083,0.1524701873935264,bear,123
Bull,0.999999999982143,0.9655172413626636,1.0,bear,123
Rainbow,0.009378804546957567,0.09401709401669224,0.03206997084548105,bear,123
Sockeye,0.0,0.0,0.0,bear,123
Pink,0.1402819629781442,0.1783783783774142,0.7857142857142857,bear,123
Whitefish,0.1980198019781353,0.8196721311408224,0.1984126984126984,bear,123
Chinook,0.1158615751656971,0.1277777777776358,0.5324074074074074,bear,123
Shiner,0.28652922094575806,0.9607843137231353,0.2808022922636103,bear,123
Pikeminnow,0.8024698371882392,0.6627450980387826,0.9037433155080213,bear,123
Chum,0.0,0.0,0.0,bear,123
Steelhead,0.0,0.0,0.0,bear,123
Lamprey,0.8140539772289342,0.8333333333260233,0.8333333333333334,bear,123
Cutthroat,0.5087903020699626,0.9230769230414201,0.5217391304347826,bear,123
all,0.29948826958265773,0.3490223222010124,0.3489619377162026,bear,456
Coho,0.03869706298107732,0.2573289902275939,0.1349274124679761,bear,456
Bull,0.9989577904971226,0.9655172413626636,1.0,bear,456
Rainbow,0.015210250993811852,0.1146245059284007,0.04482225656877898,bear,456
Sockeye,0.0,0.0,0.0,bear,456
Pink,0.13169327136728123,0.16751269035447963,0.7857142857142857,bear,456
Whitefish,0.16747444565182124,0.8207547169733891,0.16827852998065765,bear,456
Chinook,0.11122994858837569,0.14409534127828375,0.5473251028806584,bear,456
Shiner,0.2863673032149641,0.9565217391281243,0.28005657708628007,bear,456
Pikeminnow,0.7743948369512125,0.6502590673570918,0.8869257950530035,bear,456
Chum,0.0,0.0,0.0,bear,456
Steelhead,0.0,0.0,0.0,bear,456
Lamprey,0.8453621983119947,0.8738738738660011,0.8660714285714286,bear,456
Cutthroat,0.5239603960168892,0.9599999999616,0.5217391304347826,bear,456
