river,seed,class,AP50,Precision,Recall
combined,42,all,0.027187242157678034,0.036128738982716145,0.15510743992622522
combined,42,Coho,0.23842530191104042,0.1480538006928877,0.6723739009717723
combined,42,Bull,8.818342151675484e-06,0.0009551098376313276,0.002347417840375587
combined,42,Rainbow,1.615508885298869e-05,0.0027662517289073307,0.008097165991902834
combined,42,Sockeye,0.028591881509245604,0.027755322015629212,0.4858490566037736
combined,42,Pink,0.016705028458601688,0.01286931303244517,0.461038961038961
combined,42,Whitefish,0.00018589743589743593,0.006864988558352402,0.016574585635359115
combined,42,Chinook,0.011430844698543306,0.02386780905752754,0.2154696132596685
combined,42,Shiner,0.0,0.0,0.0
combined,42,Pikeminnow,0.05069861416473993,0.19626168224299065,0.075
combined,42,Chum,0.007371606440741435,0.05027932960893855,0.07964601769911504
combined,42,Steelhead,0.0,0.0,0.0
combined,42,Lamprey,0.0,0.0,0.0
combined,42,Cutthroat,0.0,0.0,0.0
combined,123,all,0.02991676486209652,0.04054820744334395,0.15901326852029124
combined,123,Coho,0.23976285548745407,0.14809474768280123,0.6685262668526267
combined,123,Bull,0.0,0.0,0.0
combined,123,Rainbow,1e-05,0.0013679890560875513,0.003787878787878788
combined,123,Sockeye,0.026005908027659293,0.03074476543864299,0.5714285714285714
combined,123,Pink,0.011771958254169263,0.011740964960557695,0.423841059602649
combined,123,Whitefish,0.0011525652565256526,0.008733624454148471,0.023952095808383235
combined,123,Chinook,0.007001638642301258,0.02204531537048377,0.19047619047619047
combined,123,Shiner,0.0,0.0,0.0
combined,123,Pikeminnow,0.1006271264187713,0.2773722627737226,0.13970588235294118
combined,123,Chum,0.002585891120373879,0.02702702702702703,0.045454545454545456
combined,123,Steelhead,0.0,0.0,0.0
combined,123,Lamprey,0.0,0.0,0.0
combined,123,Cutthroat,0.0,0.0,0.0
combined,456,all,0.027115635902461546,0.0335745303860181,0.15736435875995747
combined,456,Coho,0.2390078391063262,0.14134596010477535,0.6732245681381958
combined,456,Bull,6.954102920723227e-06,0.0009293680297397769,0.0022172949002217295
combined,456,Rainbow,6.446991404011462e-05,0.003703703703703704,0.01060070671378092
combined,456,Sockeye,0.02967541451321608,0.03260025873221216,0.5833333333333334
combined,456,Pink,0.010967185598902987,0.011782032400589101,0.41830065359477125
combined,456,Whitefish,0.0001293103448275862,0.006198347107438017,0.01694915254237288
combined,456,Chinook,0.009424946703881217,0.021148036253776436,0.1794871794871795
combined,456,Shiner,0.0,0.0,0.0
combined,456,Pikeminnow,0.05812679708111246,0.1836734693877551,0.10756972111553785
combined,456,Chum,0.005100349366772725,0.03508771929824561,0.05405405405405406
combined,456,Steelhead,0.0,0.0,0.0
combined,456,Lamprey,0.0,0.0,0.0
combined,456,Cutthroat,0.0,0.0,0.0
kitwanga,42,all,0.03263709111153536,0.3894062373343823,0.0675154561283147
kitwanga,42,Coho,0.23509561191700853,0.352066563004245,0.4976951772678281
kitwanga,42,Bull,4.2372881355932206e-05,0.0,0.0
kitwanga,42,Rainbow,8.431703204047217e-06,1.0,0.0
kitwanga,42,Sockeye,0.03538972857974899,0.13016685042269327,0.04145077720207254
kitwanga,42,Pink,0.014798013613823068,0.022422722582502257,0.0684931506849315
kitwanga,42,Whitefish,1.3123359580052494e-05,1.0,0.0
kitwanga,42,Chinook,0.008386537949097547,0.0,0.0
kitwanga,42,Shiner,0.0,0.0,0.0
kitwanga,42,Pikeminnow,0.0,1.0,0.0
kitwanga,123,all,0.0308703933437997,0.3840990953469336,0.06721215428735243
kitwanga,123,Coho,0.2348637260211878,0.3532768055903806,0.5129277566539924
kitwanga,123,Bull,1.6835016835016834e-05,0.0,0.0
kitwanga,123,Rainbow,1.4880952380952381e-05,1.0,0.0
kitwanga,123,Sockeye,0.025591262171492667,0.0853241983119064,0.031578947368421054
kitwanga,123,Pink,0.011514651080055269,0.01829085422011492,0.06040268456375839
kitwanga,123,Whitefish,1.0526315789473684e-05,1.0,0.0
kitwanga,123,Chinook,0.0058216585364561,0.0,0.0
kitwanga,123,Shiner,0.0,0.0,0.0
kitwanga,123,Pikeminnow,0.0,1.0,0.0
kitwanga,456,all,0.031099784640587165,0.2750974073312569,0.06793995520816935
kitwanga,456,Coho,0.22670092069080267,0.3432535149136132,0.48861443458124276
kitwanga,456,Bull,0.0,0.0,0.0
kitwanga,456,Rainbow,9.23076923076923e-05,0.0,0.0
kitwanga,456,Sockeye,0.03207678402041578,0.1092388797743464,0.0425531914893617
kitwanga,456,Pink,0.0127400400301356,0.02338427129335258,0.08029197080291971
kitwanga,456,Whitefish,8.19672131147541e-05,1.0,0.0
kitwanga,456,Chinook,0.008206042118507994,0.0,0.0
kitwanga,456,Shiner,0.0,0.0,0.0
kitwanga,456,Pikeminnow,0.0,1.0,0.0
bear,42,all,0.03230374535808577,0.03785600043220356,0.20227657243285674
bear,42,Coho,0.2874174519019557,0.09873755516781278,0.8084033613445378
bear,42,Bull,0.0003033220991815118,0.0028208744710860366,0.10714285714285714
bear,42,Rainbow,1.6483516483516486e-05,0.002253944402704733,0.00430416068866571
bear,42,Sockeye,0.032163987732411865,0.02554438860971524,0.8299319727891157
bear,42,Pink,0.002052335820643638,0.0023503387252868796,0.40476190476190477
bear,42,Whitefish,0.0004427083333333333,0.021352313167259787,0.012195121951219513
bear,42,Chinook,0.018977672495333657,0.028636021100226075,0.3486238532110092
bear,42,Shiner,0.0,0.0,0.0
bear,42,Pikeminnow,0.07857472775577179,0.3104325699745547,0.11423220973782772
bear,42,Chum,0.0,0.0,0.0
bear,42,Steelhead,0.0,0.0,0.0
bear,42,Lamprey,0.0,0.0,0.0
bear,42,Cutthroat,0.0,0.0,0.0
bear,123,all,0.03170580612307779,0.0370751287662264,0.20019984659522583
bear,123,Coho,0.28870642302673866,0.0974241794765268,0.7989778534923339
bear,123,Bull,0.00031358885017421603,0.002890173410404624,0.10714285714285714
bear,123,Rainbow,2.0275750202757502e-05,0.0035511363636363635,0.007288629737609329
bear,123,Sockeye,0.03456188140245946,0.026059979317476733,0.84
bear,123,Pink,0.0020171470963094964,0.0023345234825597363,0.40476190476190477
bear,123,Whitefish,0.0011346153846153845,0.0297029702970297,0.017857142857142856
bear,123,Chinook,0.015192128099015512,0.026646364674533688,0.32407407407407407
bear,123,Shiner,0.0,0.0,0.0
bear,123,Pikeminnow,0.07022941999049567,0.29336734693877553,0.10249554367201426
bear,123,Chum,0.0,0.0,0.0
bear,123,Steelhead,0.0,0.0,0.0
bear,123,Lamprey,0.0,0.0,0.0
bear,123,Cutthroat,0.0,0.0,0.0
bear,456,all,0.0323934177864212,0.038936190676505104,0.2022853778849615
bear,456,Coho,0.2820204425635401,0.09813132894874203,0.802732707087959
bear,456,Bull,0.00030776746458231557,0.002866698518872432,0.10714285714285714
bear,456,Rainbow,8.8261253309797e-06,0.001584786053882726,0.0030911901081916537
bear,456,Sockeye,0.033777398655886484,0.026954177897574125,0.8280254777070064
bear,456,Pink,0.0020175206219816963,0.0023493642896627973,0.40476190476190477
bear,456,Whitefish,0.0018517612524461837,0.03460207612456748,0.019342359767891684
bear,456,Chinook,0.026889357382998753,0.03361344537815126,0.36213991769547327
bear,456,Shiner,0.0,0.0,0.0
bear,456,Pikeminnow,0.07424135715670914,0.30606860158311344,0.10247349823321555
bear,456,Chum,0.0,0.0,0.0
bear,456,Steelhead,0.0,0.0,0.0
bear,456,Lamprey,0.0,0.0,0.0
bear,456,Cutthroat,0.0,0.0,0.0
